State,Male native,Male overall,Female native,Male.native.blind.perc,Male.foreign.blind.perc,Female.native.blind.perc,Female.foreign.blind.perc,Male.blind.perc,Female.blind.perc,Male.white,Male.overall,Female.white,Male.white.blind.perc,Male.colored.blind.perc,Female.white.blind.perc,Female.colored.blind.perc,TOTAL POPULATION,TOTAL FEMALES,TOTAL MALES,FOREIGN-BORN PERSONS,NATIVE-BORN PERSONS,REGION
UNITED STATES,165,159,137,45.83333333,10,38.05555556,6.111111111,55.83333333,44.16666667,171,159,130,47.5,8.333333333,36.11111111,8.055555556,38155505,18882317,19273188,5479628,32675877,NA
ALABAMA,199,157,152,55.27777778,1.111111111,42.22222222,1.388888889,56.38888889,43.61111111,113,159,92,31.38888889,24.44444444,25.55555556,18.61111111,996992,508254,488738,9962,987030,SOUTHERN
ARKANSAS,178,181,177,49.44444444,0.277777778,49.16666667,1.111111111,49.72222222,50.27777778,142,179,150,39.44444444,10.83333333,41.66666667,8.055555556,484471,236210,248261,5026,479445,SOUTHERN
CALIFORNIA,141,179,89,39.16666667,11.11111111,24.72222222,25,50.27777778,49.72222222,227,119,113,63.05555556,3.888888889,31.38888889,1.666666667,560247,210768,349479,209831,350416,PACIFIC
COLORADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39864,15044,24820,6599,33265,
CONNECTICUT,174,163,137,48.33333333,6.388888889,38.05555556,7.222222222,54.72222222,45.27777778,184,163,160,51.11111111,3.611111111,44.44444444,0.833333333,537454,272184,265270,113639,423815,EASTERN
DELAWARE,101,212,206,28.05555556,13.05555556,57.22222222,1.666666667,41.11111111,58.88888889,90,212,132,25,16.11111111,36.66666667,22.22222222,125015,62387,62628,9136,115879,EASTERN
FLORIDA,164,176,164,45.55555556,5.555555556,45.55555556,3.333333333,51.11111111,48.88888889,98,176,57,27.22222222,23.88888889,15.83333333,33.05555556,187748,93200,94548,4967,182781,SOUTHERN
GEORGIA,180,177,172,50,0.833333333,47.77777778,1.388888889,50.83333333,49.16666667,100,177,57,27.77777778,23.05555556,15.83333333,33.33333333,1184109,605154,578955,11127,1172982,SOUTHERN
ILLINOIS,153,153,116,42.5,15,32.22222222,10.27777778,57.5,42.5,206,153,152,57.22222222,0.277777778,42.22222222,0.277777778,2539891,1223354,1316537,515198,2024693,WESTERN
