"State
To retrieve county-level data, select a state and click the submit button below",TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,PERSONS BORN IN AUSTRALIA,PERSONS BORN IN AUSTRIA,PERSONS BORN IN BELGIUM,PERSONS BORN IN BOHEMIA,PERSONS BORN IN BRITISH AMERICA,PERSONS BORN IN CHINA,PERSONS BORN IN THE ATLANTIC ISLANDS,PERSONS BORN IN AFRICA,PERSONS BORN IN WISCONSIN,PERSONS BORN IN VIRGINIA & WEST VIRGINIA,PERSONS BORN IN VERMONT,PERSONS BORN IN TENNESSEE,PERSONS BORN IN SOUTH CAROLINA,PERSONS BORN IN RHODE ISLAND,PERSONS BORN IN PENNSYLVANIA,PERSONS BORN IN CUBA,PERSONS BORN IN DENMARK,PERSONS BORN IN ENGLAND & WALES,PERSONS BORN IN SWITZERLAND,PERSONS BORN IN SWEDEN & NORWAY,PERSONS BORN IN SPAIN,PERSONS BORN IN SCOTLAND,PERSONS BORN IN RUSSIA,PERSONS BORN IN PORTUGAL,PERSONS BORN IN POLAND,PERSONS BORN IN MEXICO,PERSONS BORN IN ITALY,PERSONS BORN IN IRELAND,PERSONS BORN IN HOLLAND,PERSONS BORN IN GREAT BRITAIN,PERSONS BORN IN GERMANY,PERSONS BORN IN FRANCE,PERSONS BORN IN THE WEST INDIES,WHITE PERSONS,PERSONS BORN IN DELAWARE,PERSONS BORN IN CONNECTICUT,PERSONS BORN IN CALIFORNIA,PERSONS BORN IN ALABAMA,BORN IN STATE OR TERRITORY,PERSONS HAVING FOREIGN-BORN FATHER AND MOTHER,PERSONS HAVING FOREIGN-BORN MOTHER,PERSONS HAVING FOREIGN-BORN FATHER,PERSONS HAVING ONE OR BOTH PARENTS FOREIGN BORN,FOREIGN-BORN PERSONS,NATIVE-BORN PERSONS,INDIAN PERSONS,CHINESE PERSONS,COLORED PERSONS,PERSONS BORN IN DISTRICT COLUMBIA,PERSONS BORN IN GEORGIA,PERSONS BORN IN ILLINOIS,PERSONS BORN IN OHIO,PERSONS BORN IN NORTH CAROLINA,PERSONS BORN IN NEW YORK,PERSONS BORN IN THE TERRITORY NEW MEXICO,PERSONS BORN IN NEW JERSEY,PERSONS BORN IN NEW HAMPSHIRE,PERSONS BORN IN MISSOURI,PERSONS BORN IN MISSISSIPPI,PERSONS BORN IN MASSACHUSETTS,PERSONS BORN IN INDIANA,PERSONS BORN IN IOWA,PERSONS BORN IN KENTUCKY,PERSONS BORN IN LOUISIANA 1870,PERSONS BORN IN MAINE,PERSONS BORN IN MARYLAND,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE,FARMS 3-9 ACRES,FARMS UNDER THREE ACRES,TOTAL FARMS,VALUE ALL LIVESTOCK,FARMS 10-19 ACRES,FARMS 20-49 ACRES,FARMS 50-99 ACRES,FARMS 100-499 ACRES,FARMS 500-999 ACRES,FARMS 1000 ACRES AND OVER,VALUE ANIMALS SLAUGHTERED OR SOLD FOR SLAUGHTER,VALUE HOME MANUFACTURES,ACRES IMPROVED LAND,ACRES UNIMPROVED WOODLAND,ACRES OTHER UNIMPROVED LAND,PRESENT CASH VALUE FARMS,PRESENT CASH VALUE FARMING IMPLEMENTS AND MACHINERY,TOTAL ANNUAL AGRIC. WAGES PAID,TOTAL (ESTIMATED) VALUE ALL FARM PRODUCTIONS,VALUE ORCHARD PRODUCTS,VALUE PRODUCE MARKET GARDENS,VALUE FOREST PRODUCTS,TRUE VALUATION REAL AND PERSONAL ESTATE,TOTAL NON-NATIONAL TAXATION,TOTAL STATE TAXATION,TOTAL COUNTY TAXATION,TOTAL TOWN,PUBLIC DEBT  OF THE COUNTY,"PUBLIC DEBT OF TOWNS, CITIES, ETC.",ASSESSED VALUATION REAL AND PERSONAL ESTATE,VALUE PRODUCTS MANUFACTURING,VALUE MATERIALS USED IN MANUFACTURING,MANUFACTURING ESTABLISHMENTS,TOTAL HANDS EMPLOYED IN MANUFACTURING,MALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,FEMALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,YOUTHS EMPLOYED IN MANUFACTURING,TOTAL CAPITAL INVESTED (IN DOLLARS) IN MANUFACTURING,TOTAL WAGES PAID IN MANUFACTURING,SECOND ADVENTIST ORGANIZATIONS,ROMAN CATHOLIC SITTINGS,ROMAN CATHOLIC ORGANIZATIONS,REFORMED LATE GERMAN SITTINGS,REFORMED LATE GERMAN ORGANIZATIONS,REFORMED LATE DUTCH SITTINGS,REFORMED LATE DUTCH ORGANIZATIONS,PRESBYTERIAN SITTINGS,PRESBYTERIAN ORGANIZATIONS,SECOND ADVENTIST SITTINGS,UNITARIAN ORGANIZATIONS,VALUE  PROPERTY ALL DENOMINATIONS,SITTINGS ALL DENOMINATIONS,EDIFACES ALL DENOMINATIONS,ORGANIZATIONS ALL DENOMINATIONS,UNIVERSALIST SITTINGS,UNIVERSALIST ORGANIZATIONS,UNITED BRETHERN IN CHRIST SITTINGS,UNITED BRETHERN IN CHRIST ORGANIZATIONS,UNITARIAN SITTINGS,NEW JERUSALEM SITTINGS,NEW JERUSALEM ORGANIZATIONS,EVANGELICAL ASSOCIATION ORGANIZATION,EPISCOPAL SITTINGS,EPISCOPAL ORGANIZATIONS,CONGREGATIONAL SITTINGS,CONGREGATIONAL ORGANIZATIONS,CHRISTIAN SITTINGS,CHRISTIAN ORGANIZATIONS,BAPTIST SITTINGS,EVANGELICAL ASSOCIATION SITTINGS,FRIENDS ORGANIZATIONS,FRIENDS SITTINGS,MORMON SITTINGS,MORMAN ORGANIZATIONS,METHODIST SITTINGS,METHODIST ORGANIZATIONS,LUTHERAN SITTINGS,LUTHERAN ORGANIZATIONS,JEWISH SITTINGS,JEWISH ORGANIZATIONS,BAPTIST ORGANIZATIONS
ALABAMA,996992,202046,203315,168986,169703,173273,508254,488738,NA,99,NA,NA,183,NA,NA,244,NA,29636,NA,19797,42972,NA,NA,NA,NA,1080,168,126,NA,458,NA,NA,NA,NA,118,3893,NA,22,2482,594,NA,521384,NA,NA,NA,NA,744146,16981,18060,20765,21844,9962,987030,98,0,475510,NA,93028,NA,NA,30290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9642,9757,17429,31001,24391,22615,25616,28915,91017,98344,11016,13214,870,77139,77091,48,31098,30226,7502,8313,349771,383012,382142,4491,0,67382,26690095,9128,26541,14003,11719,1194,306,4670146,1124513,5062204,8380332,1518642,67739036,3286924,11851870,67522335,37590,139636,85933,201847,2982932,1456024,1122971,403928,1704173,3094963,155582595,13040644,7592837,2188,8248,7196,664,388,5714032,2227968,NA,6730,20,NA,NA,NA,NA,67615,202,NA,NA,2414515,510810,1958,2095,550,6,NA,NA,NA,NA,NA,NA,15520,50,650,4,5750,19,190200,NA,NA,NA,NA,NA,218945,991,NA,NA,NA,NA,789
ARKANSAS,484471,100403,104083,94873,80847,84645,236210,248261,NA,NA,NA,NA,342,98,NA,NA,NA,NA,NA,66565,NA,NA,NA,NA,53,550,104,154,NA,156,NA,NA,NA,NA,NA,1428,71,34,1563,237,NA,362115,NA,NA,NA,28318,232882,7760,8484,9893,10617,5026,479445,89,98,122169,NA,25234,NA,NA,18481,NA,NA,NA,NA,NA,22088,NA,NA,NA,NA,NA,NA,NA,6703,7213,13610,21770,5352,4982,5863,6655,23681,22689,6814,7985,296,62572,62546,26,30138,26650,2930,2854,111799,133339,133043,5556,0,49424,17222506,11744,20853,7640,3465,133,33,3843923,807573,1859821,3910325,1827150,40029698,2237409,4061952,40701699,157219,55697,34225,156395,2866890,950894,1738760,177236,536649,154946,94528843,4629234,2536998,1070,3206,3077,47,82,1782913,673963,NA,5250,11,NA,NA,NA,NA,33600,161,NA,NA,854975,264225,1141,1371,200,1,NA,NA,NA,NA,NA,NA,3695,15,NA,NA,14600,90,103800,NA,NA,NA,NA,NA,91890,583,1025,2,NA,NA,473
CALIFORNIA,560247,145802,227256,194935,66043,71086,210768,349479,NA,NA,NA,NA,10660,48825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19216,2927,2944,NA,4949,NA,NA,NA,9339,4660,54421,NA,75,29701,8068,NA,499424,NA,NA,NA,NA,169904,295723,308303,310927,323507,209831,350416,7241,49310,4272,NA,NA,NA,12735,NA,33766,NA,NA,NA,16050,NA,15334,NA,NA,NA,NA,11261,NA,1179,839,12362,9837,24,21,30,34,468,339,849,1092,22196,91176,87598,3578,46539,44091,203,170,24877,31716,9520,2187,0,23724,37964752,1086,3064,3224,12248,1202,713,6112503,301491,6218133,477880,4731092,141240028,5316690,10369247,49856024,1384480,1059779,566017,638767,7625561,2348829,5068038,208691,13817711,842344,269644068,66594556,35351193,3984,25392,24040,873,479,39728202,13136722,NA,66640,160,NA,NA,NA,NA,21798,79,NA,NA,7404235,195558,532,643,NA,NA,NA,NA,NA,NA,NA,NA,13095,45,11915,40,6380,30,16775,NA,NA,NA,NA,NA,43035,184,NA,NA,3610,7,60
COLORADO,39864,15515,16294,15166,4352,4605,15044,24820,NA,51,NA,NA,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1523,140,220,NA,188,NA,NA,NA,124,NA,1685,NA,1,1456,209,NA,39221,NA,NA,NA,NA,6344,9347,9854,10200,10707,6599,33265,180,7,456,NA,NA,1812,2057,NA,2778,8378,NA,NA,1704,NA,NA,NA,NA,NA,NA,NA,NA,498,717,2305,2074,4,4,13,14,63,48,487,483,255,2617,2482,135,1376,1221,12,7,6297,6823,6568,166,0,1738,2871102,263,671,371,258,6,3,252394,57658,95594,11504,213248,3385748,272604,416236,2335106,9,55020,0,20242,362197,63425,267201,31571,678829,2329,17338101,2852820,1593280,256,876,874,2,0,2835605,528221,NA,8575,14,NA,NA,NA,NA,1200,6,NA,NA,207230,17495,47,55,NA,NA,NA,NA,NA,NA,NA,NA,2000,9,1050,4,0,2,855,NA,NA,NA,NA,NA,3815,14,NA,NA,0,1,5
CONNECTICUT,537454,127499,150415,109881,69155,69807,272184,265270,NA,154,NA,NA,10861,NA,194,NA,NA,NA,2646,NA,NA,7897,NA,NA,116,13289,492,395,NA,3238,NA,NA,NA,NA,NA,70632,NA,0,12743,821,NA,527549,NA,NA,NA,NA,350498,192685,197377,198958,203650,113639,423815,235,2,9668,NA,NA,NA,NA,NA,29594,NA,2694,NA,NA,NA,17871,NA,NA,NA,NA,NA,NA,1266,1444,8990,13683,69,62,83,130,627,704,1191,1339,23938,99663,95381,4282,50696,47792,580,564,19680,29616,5678,1716,71,25508,17545038,2937,7433,7538,5786,26,1,4881858,53297,1646752,577333,140331,124241382,3246599,4405064,26482150,535954,599718,1224107,740631,4892410,702591,20113,4169706,6103,9806903,322553488,161065474,86419579,5128,89523,61684,20810,7029,95281278,38987187,7,26418,44,NA,NA,NA,NA,3875,7,1380,NA,13428109,338735,902,826,6850,14,NA,NA,NA,NA,NA,NA,50962,139,133175,290,NA,NA,45150,NA,NA,NA,NA,NA,63975,184,NA,NA,NA,NA,116
DELAWARE,125015,28207,30035,24018,19622,20185,62387,62628,NA,NA,NA,NA,112,NA,NA,NA,NA,450,NA,NA,NA,NA,8764,17,NA,1464,33,9,NA,229,NA,NA,NA,NA,NA,5907,16,0,1142,127,10,102221,NA,NA,NA,NA,94754,17288,18311,19338,20361,9136,115879,0,0,22794,NA,NA,NA,NA,NA,1311,NA,2039,NA,NA,NA,NA,NA,NA,NA,NA,NA,7146,718,652,3466,4566,925,860,1054,1011,3765,4205,833,1045,2469,19965,19760,205,9862,8908,663,532,19356,23100,20631,349,9,7615,4257323,453,1531,2398,2832,40,3,997403,33070,698115,295162,59045,46712870,1201644,1696571,8171667,1226893,198075,111810,97181,418092,83666,189994,144432,139875,386250,64787223,16791382,10206397,800,9710,7705,1199,806,10839093,3692195,NA,6000,13,NA,NA,NA,NA,13375,32,NA,NA,1823950,87899,252,267,NA,NA,NA,NA,NA,300,1,NA,8975,29,NA,NA,NA,NA,2950,NA,8,3425,NA,NA,51924,173,300,1,NA,NA,8
FLORIDA,187748,38854,39907,34539,31024,32873,93200,94548,NA,NA,NA,NA,174,NA,NA,88,NA,3121,NA,NA,22116,NA,NA,1155,NA,405,NA,46,NA,144,NA,NA,NA,NA,55,737,NA,25,597,126,1101,96057,NA,NA,NA,7334,109554,7459,8020,8734,9295,4967,182781,2,0,91689,NA,28058,NA,NA,6717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2146,2199,3876,5600,4190,3513,4957,5376,16809,18052,2392,2691,568,12778,12757,21,4195,4059,2241,2283,66238,71803,71235,1344,0,10241,5212157,2111,3614,1355,1570,175,72,520966,131693,736172,1425786,211583,9947920,505074,1537060,8909746,53639,31983,7965,44164,482070,234672,168389,79009,443041,454100,32480843,4685403,2330873,659,2749,2670,20,59,1679930,989592,1,3950,10,NA,NA,NA,NA,6620,29,NA,NA,426520,78920,390,420,0,0,NA,NA,NA,NA,NA,NA,4600,17,NA,NA,NA,NA,21100,NA,NA,NA,50,1,42600,235,NA,NA,NA,NA,127
GEORGIA,1184109,234919,237640,202573,201490,206026,605154,578955,NA,NA,NA,NA,247,NA,NA,319,NA,19034,NA,9394,54937,NA,NA,NA,NA,1149,103,49,NA,420,NA,NA,88,NA,NA,5093,NA,39,2752,312,86,638926,NA,NA,NA,12230,1033962,18500,19413,22901,23814,11127,1172982,40,1,545142,NA,NA,NA,NA,26858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13101,12911,21899,40531,33364,31253,31295,34813,100551,112361,16654,19843,1090,77493,77350,143,33796,33346,4898,5453,418553,468593,467503,3257,0,69956,30156317,6942,21971,18371,17490,1506,419,6854382,1113080,6831856,12928084,3888001,94559468,4614701,19787086,80390228,352936,193266,1281623,268164,2561319,879684,906270,775365,561735,14647477,228319528,31196115,18583731,3836,17871,15078,1498,1295,13930125,4844508,NA,5500,14,NA,NA,NA,NA,49575,134,NA,NA,3561955,801148,2698,2873,NA,NA,NA,NA,NA,NA,NA,NA,10080,35,2800,10,10285,34,389165,NA,NA,NA,NA,NA,327343,1248,3000,11,NA,NA,1369
ILLINOIS,2539891,542833,625139,525873,404219,414547,1223354,1316537,NA,NA,NA,7350,32550,NA,NA,NA,NA,NA,NA,NA,NA,NA,98614,NA,3641,57017,8980,41859,NA,15737,NA,NA,NA,NA,NA,120162,4180,44,203758,10911,NA,2511096,NA,NA,NA,NA,1189503,890823,920147,956711,986035,515198,2024693,32,1,28762,NA,NA,NA,163012,NA,133494,NA,NA,NA,NA,NA,NA,86807,NA,67702,NA,NA,NA,7208,6893,40801,56857,335,325,620,619,3969,4082,5303,6562,42989,548225,522939,25286,284084,261813,1169,1155,86368,133584,90595,3552,43,202803,149756698,10229,53240,68130,65940,1367,302,56718944,1408015,19329952,5061578,1491331,920506346,34576587,22338767,210860585,3571789,765992,1087144,2121684,21355199,3150872,5154913,12962190,12817922,24483010,482899575,205620672,127600077,12597,82979,73045,6717,3217,94368057,31100244,NA,136900,290,NA,NA,NA,NA,184849,595,NA,NA,22664283,1201403,3459,4298,NA,NA,17995,125,NA,NA,NA,NA,NA,NA,66137,212,85175,350,181454,NA,NA,NA,NA,NA,357073,1426,74301,230,NA,NA,722
INDIANA,1680637,376780,388231,319658,279818,287357,822643,857994,NA,NA,462,NA,4765,NA,NA,NA,NA,32489,NA,NA,NA,NA,57291,NA,NA,10501,4287,2303,NA,2507,NA,NA,523,NA,NA,28698,873,560,78060,6363,NA,1655837,NA,NA,NA,NA,1048575,284064,298753,326312,341001,141474,1539163,240,0,24560,NA,NA,NA,189359,NA,29518,NA,NA,NA,NA,NA,NA,NA,NA,76524,NA,NA,NA,7325,7093,36331,57651,347,348,550,650,3182,3181,4779,5582,13939,395263,391524,3739,206363,185777,1620,1469,76634,127124,113185,7270,1565,161289,83776782,13506,55821,52614,29433,1004,76,30246962,605639,10104279,7189334,826035,634804189,17676591,9675348,122914302,2858086,487479,2645679,1268181,10791121,2943078,4654466,3193577,1127269,2523934,663455044,108617278,63135492,11847,58852,54412,2272,2168,52052425,18366780,NA,86830,204,NA,NA,NA,NA,128960,375,NA,NA,11942227,1008380,3106,3698,NA,NA,33975,184,NA,NA,NA,NA,NA,NA,NA,NA,122775,455,152375,NA,81,29500,NA,NA,346125,1403,62285,195,NA,NA,620
IOWA,1194020,255802,290717,240769,193165,201531,568103,625917,NA,NA,NA,6766,17907,NA,NA,NA,NA,NA,NA,NA,NA,NA,73435,NA,2775,18595,3937,28322,NA,5248,NA,NA,NA,NA,NA,40124,4488,1443,66162,3130,NA,1188207,NA,NA,NA,NA,428620,360971,379438,397672,416139,204692,989328,48,3,5762,NA,NA,65391,126285,NA,79143,NA,NA,NA,NA,NA,NA,64053,NA,NA,NA,NA,NA,2044,1636,14782,19825,32,38,71,75,635,673,2457,3401,20692,306353,293353,13000,160269,145421,346,315,24115,45671,24979,4197,0,116292,82987133,6181,34041,41372,30142,321,38,25781223,521404,9396467,2524793,3620533,392662441,20509582,9377878,114386441,1075169,244963,1200468,717639,8827720,603696,3052931,5169765,3731929,3775706,302515418,46534322,27682096,6566,25032,23395,951,686,22420183,6893292,NA,57280,216,NA,NA,NA,NA,64890,375,NA,NA,5730352,431709,1446,2763,NA,NA,10445,188,NA,NA,NA,NA,NA,NA,33925,187,15750,113,50690,NA,82,17075,NA,NA,142655,982,NA,NA,NA,NA,352
